Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
31,No,Travel_Rarely,670,Research & Development,26,Below College,Life Sciences,16,Male,Research Scientist,High,Divorced,2911,1,No,17,Excellent,80,5,5,2,3
34,No,Travel_Rarely,1346,Research & Development,19,College,Medical,18,Male,Laboratory Technician,Very High,Divorced,2661,0,No,11,Excellent,80,3,2,2,2
28,Yes,Travel_Rarely,103,Research & Development,24,Bachelor,Life Sciences,19,Male,Laboratory Technician,High,Single,2028,5,Yes,14,Excellent,80,6,4,2,3
29,No,Travel_Rarely,1389,Research & Development,21,Master,Life Sciences,20,Female,Manufacturing Director,Low,Divorced,9980,1,No,11,Excellent,80,10,10,9,8
32,No,Travel_Rarely,334,Research & Development,5,College,Life Sciences,21,Male,Research Scientist,Medium,Divorced,3298,0,Yes,12,Excellent,80,7,6,2,5
22,No,Non-Travel,1123,Research & Development,16,College,Medical,22,Male,Laboratory Technician,Very High,Divorced,2935,1,Yes,13,Excellent,80,1,1,0,0
53,No,Travel_Rarely,1219,Sales,2,Master,Life Sciences,23,Female,Manager,Very High,Married,15427,2,No,16,Excellent,80,31,25,8,7
38,No,Travel_Rarely,371,Research & Development,2,Bachelor,Life Sciences,24,Male,Research Scientist,Very High,Single,3944,5,Yes,11,Excellent,80,6,3,2,2
24,No,Non-Travel,673,Research & Development,11,College,Other,26,Female,Manufacturing Director,High,Divorced,4011,0,No,18,Excellent,80,5,4,2,3
36,Yes,Travel_Rarely,1218,Sales,9,Master,Life Sciences,27,Male,Sales Representative,Low,Single,3407,7,No,23,Outstanding,80,10,5,3,3
34,No,Travel_Rarely,419,Research & Development,7,Master,Life Sciences,28,Female,Research Director,Medium,Single,11994,0,No,11,Excellent,80,13,12,6,11
21,No,Travel_Rarely,391,Research & Development,15,College,Life Sciences,30,Male,Research Scientist,Very High,Single,1232,1,No,14,Excellent,80,0,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,6,Below College,Medical,31,Male,Research Scientist,Low,Single,2960,2,No,11,Excellent,80,8,4,2,3
53,No,Travel_Rarely,1282,Research & Development,5,Bachelor,Other,32,Female,Manager,High,Divorced,19094,4,No,11,Excellent,80,26,14,13,8
32,Yes,Travel_Frequently,1125,Research & Development,16,Below College,Life Sciences,33,Female,Research Scientist,Low,Single,3919,1,Yes,22,Outstanding,80,10,10,2,7
42,No,Travel_Rarely,691,Sales,8,Master,Marketing,35,Male,Sales Executive,Medium,Married,6825,0,No,11,Excellent,80,10,9,7,2
44,No,Travel_Rarely,477,Research & Development,7,Master,Medical,36,Female,Healthcare Representative,Very High,Married,10248,3,No,14,Excellent,80,24,22,6,17
46,No,Travel_Rarely,705,Sales,2,Master,Marketing,38,Female,Manager,Low,Single,18947,3,No,12,Excellent,80,22,2,2,1
33,No,Travel_Rarely,924,Research & Development,2,Bachelor,Medical,39,Male,Laboratory Technician,Very High,Single,2496,4,No,11,Excellent,80,7,1,1,0
44,No,Travel_Rarely,1459,Research & Development,10,Master,Other,40,Male,Healthcare Representative,Very High,Married,6465,2,Yes,13,Excellent,80,9,4,2,3
30,No,Travel_Rarely,125,Research & Development,9,College,Medical,41,Male,Laboratory Technician,High,Single,2206,1,No,13,Excellent,80,10,10,0,8
39,Yes,Travel_Rarely,895,Sales,5,Bachelor,Technical Degree,42,Male,Sales Representative,Very High,Married,2086,3,No,14,Excellent,80,19,1,0,0
24,Yes,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,45,Male,Research Scientist,Very High,Married,2293,2,Yes,16,Excellent,80,6,2,0,0
43,No,Travel_Rarely,1273,Research & Development,2,College,Medical,46,Female,Research Scientist,High,Divorced,2645,1,No,12,Excellent,80,6,5,3,4
50,Yes,Travel_Rarely,869,Sales,3,College,Marketing,47,Male,Sales Representative,High,Married,2683,1,Yes,14,Excellent,80,3,3,2,2
35,No,Travel_Rarely,890,Sales,2,Bachelor,Marketing,49,Female,Sales Representative,Very High,Married,2014,1,No,13,Excellent,80,2,2,2,2
36,No,Travel_Rarely,852,Research & Development,5,Master,Life Sciences,51,Female,Research Scientist,Low,Married,3419,9,Yes,14,Excellent,80,6,1,1,0
33,No,Travel_Frequently,1141,Sales,1,Bachelor,Life Sciences,52,Female,Sales Executive,Low,Married,5376,2,No,19,Excellent,80,10,5,3,3
35,No,Travel_Rarely,464,Research & Development,4,College,Other,53,Male,Laboratory Technician,Very High,Divorced,1951,1,No,12,Excellent,80,1,1,0,0
27,No,Travel_Rarely,1240,Research & Development,2,Master,Life Sciences,54,Female,Laboratory Technician,Low,Divorced,2341,1,No,13,Excellent,80,1,1,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,Bachelor,Life Sciences,55,Male,Laboratory Technician,High,Single,2293,1,No,12,Excellent,80,1,1,0,1
27,No,Travel_Frequently,994,Sales,8,Bachelor,Life Sciences,56,Male,Sales Executive,High,Single,8726,1,No,15,Excellent,80,9,9,8,7
30,No,Travel_Frequently,721,Research & Development,1,College,Medical,57,Female,Laboratory Technician,Very High,Single,4011,1,No,23,Outstanding,80,12,12,8,7
41,Yes,Travel_Rarely,1360,Research & Development,12,Bachelor,Technical Degree,58,Female,Research Director,High,Married,19545,1,No,12,Excellent,80,23,22,15,8
34,No,Non-Travel,1065,Sales,23,Master,Marketing,60,Male,Sales Executive,High,Single,4568,0,No,20,Outstanding,80,10,9,5,7
37,No,Travel_Rarely,408,Research & Development,19,College,Life Sciences,61,Male,Research Scientist,Medium,Married,3022,4,No,21,Outstanding,80,8,1,0,0
46,No,Travel_Frequently,1211,Sales,5,Master,Marketing,62,Male,Sales Executive,Very High,Single,5772,4,Yes,21,Outstanding,80,14,9,6,8
35,No,Travel_Rarely,1229,Research & Development,8,Below College,Life Sciences,63,Male,Laboratory Technician,Very High,Married,2269,1,No,19,Excellent,80,1,1,0,1
48,Yes,Travel_Rarely,626,Research & Development,1,College,Life Sciences,64,Male,Laboratory Technician,High,Single,5381,9,Yes,13,Excellent,80,23,1,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,Master,Technical Degree,65,Male,Laboratory Technician,High,Single,3441,1,Yes,13,Excellent,80,2,2,2,2
44,No,Travel_Rarely,1488,Sales,1,Doctor,Marketing,68,Female,Sales Executive,Low,Divorced,5454,5,Yes,21,Outstanding,80,9,4,3,3
35,No,Non-Travel,1097,Research & Development,11,College,Medical,70,Male,Healthcare Representative,Low,Married,9884,2,Yes,13,Excellent,80,10,4,0,3
26,No,Travel_Rarely,1443,Sales,23,Bachelor,Marketing,72,Female,Sales Executive,Very High,Married,4157,7,Yes,19,Excellent,80,5,2,2,0
33,No,Travel_Frequently,515,Research & Development,1,College,Life Sciences,73,Female,Research Director,Very High,Single,13458,1,Yes,12,Excellent,80,15,15,14,12
35,No,Travel_Frequently,853,Sales,18,Doctor,Life Sciences,74,Male,Sales Executive,Low,Married,9069,1,No,22,Outstanding,80,9,9,8,8
35,No,Travel_Rarely,1142,Research & Development,23,Master,Medical,75,Female,Laboratory Technician,Low,Married,4014,3,Yes,15,Excellent,80,4,2,2,2
31,No,Travel_Rarely,655,Research & Development,7,Master,Life Sciences,76,Male,Laboratory Technician,Very High,Divorced,5915,3,No,22,Outstanding,80,10,7,7,7
37,No,Travel_Rarely,1115,Research & Development,1,Master,Life Sciences,77,Male,Manufacturing Director,High,Divorced,5993,1,No,18,Excellent,80,7,7,5,7
32,No,Travel_Rarely,427,Research & Development,1,Bachelor,Medical,78,Male,Manufacturing Director,Very High,Married,6162,1,Yes,22,Outstanding,80,9,9,8,8
38,No,Travel_Frequently,653,Research & Development,29,Doctor,Life Sciences,79,Female,Laboratory Technician,Very High,Single,2406,1,No,11,Excellent,80,10,10,3,9
50,No,Travel_Rarely,989,Research & Development,7,College,Medical,80,Female,Research Director,High,Divorced,18740,5,Yes,12,Excellent,80,29,27,3,8
59,No,Travel_Rarely,1435,Sales,25,Bachelor,Life Sciences,81,Female,Sales Executive,Low,Single,7637,7,No,11,Excellent,80,28,21,16,9
36,No,Travel_Rarely,1223,Research & Development,8,Bachelor,Technical Degree,83,Female,Healthcare Representative,High,Divorced,10096,1,No,13,Excellent,80,17,17,14,8
55,No,Travel_Rarely,836,Research & Development,8,Bachelor,Medical,84,Female,Manager,High,Divorced,14756,2,Yes,14,Excellent,80,21,5,0,2
36,No,Travel_Frequently,1195,Research & Development,11,Bachelor,Life Sciences,85,Male,Manufacturing Director,Medium,Single,6499,1,No,13,Excellent,80,6,6,5,3
45,No,Travel_Rarely,1339,Research & Development,7,Bachelor,Life Sciences,86,Male,Research Scientist,Low,Divorced,9724,2,No,17,Excellent,80,25,1,0,0
35,No,Travel_Frequently,664,Research & Development,1,Bachelor,Medical,88,Male,Research Scientist,Low,Married,2194,4,No,13,Excellent,80,5,3,2,2
36,Yes,Travel_Rarely,318,Research & Development,9,Bachelor,Medical,90,Male,Research Scientist,High,Married,3388,0,Yes,17,Excellent,80,2,1,0,0
59,No,Travel_Frequently,1225,Sales,1,Below College,Life Sciences,91,Female,Sales Executive,High,Single,5473,7,No,11,Excellent,80,20,4,3,3
29,No,Travel_Rarely,1328,Research & Development,2,Bachelor,Life Sciences,94,Male,Research Scientist,Medium,Married,2703,0,No,23,Outstanding,80,6,5,4,4
31,No,Travel_Rarely,1082,Research & Development,1,Master,Medical,95,Male,Research Scientist,Medium,Single,2501,1,No,17,Excellent,80,1,1,1,0
32,No,Travel_Rarely,548,Research & Development,1,Bachelor,Life Sciences,96,Male,Research Scientist,Medium,Married,6220,1,No,17,Excellent,80,10,10,4,9
36,No,Travel_Rarely,132,Research & Development,6,Bachelor,Life Sciences,97,Female,Laboratory Technician,Very High,Married,3038,3,No,12,Excellent,80,5,1,0,0
31,No,Travel_Rarely,746,Research & Development,8,Master,Life Sciences,98,Female,Manufacturing Director,Very High,Single,4424,1,No,23,Outstanding,80,11,11,7,8
35,No,Travel_Rarely,776,Sales,1,Master,Marketing,100,Male,Sales Executive,Low,Single,4312,0,No,14,Excellent,80,16,15,13,8
45,No,Travel_Rarely,193,Research & Development,6,Master,Other,101,Male,Research Director,Low,Married,13245,4,Yes,14,Excellent,80,17,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,Master,Medical,102,Male,Research Director,High,Single,13664,4,No,13,Excellent,80,16,5,2,2
46,No,Travel_Rarely,945,Human Resources,5,College,Medical,103,Male,Human Resources,Medium,Divorced,5021,8,Yes,22,Outstanding,80,16,4,2,2
30,No,Travel_Rarely,852,Research & Development,1,Below College,Life Sciences,104,Male,Laboratory Technician,Very High,Married,5126,1,Yes,12,Excellent,80,10,10,8,0
35,No,Travel_Rarely,1214,Research & Development,1,Bachelor,Medical,105,Male,Research Scientist,High,Single,2859,1,No,18,Excellent,80,6,6,4,4
55,No,Travel_Rarely,111,Sales,1,College,Life Sciences,106,Male,Sales Executive,Very High,Married,10239,3,No,14,Excellent,80,24,1,0,0
38,No,Non-Travel,573,Research & Development,6,Bachelor,Medical,107,Female,Research Scientist,Very High,Divorced,5329,7,Yes,12,Excellent,80,17,13,11,9
34,No,Travel_Rarely,1153,Research & Development,1,College,Medical,110,Male,Manufacturing Director,Medium,Married,4325,1,No,15,Excellent,80,5,5,2,3
56,No,Travel_Rarely,1400,Research & Development,7,Bachelor,Life Sciences,112,Male,Manufacturing Director,Very High,Single,7260,4,No,11,Excellent,80,37,6,4,2
23,No,Travel_Rarely,541,Sales,2,Below College,Technical Degree,113,Male,Sales Representative,Low,Divorced,2322,3,No,13,Excellent,80,3,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,Master,Life Sciences,116,Male,Laboratory Technician,Very High,Married,2075,3,No,23,Outstanding,80,10,4,2,3
30,No,Travel_Rarely,288,Research & Development,2,Bachelor,Life Sciences,117,Male,Healthcare Representative,Very High,Married,4152,1,No,19,Excellent,80,11,11,10,8
46,Yes,Travel_Rarely,669,Sales,9,College,Medical,118,Male,Sales Executive,Very High,Single,9619,1,No,16,Excellent,80,9,9,8,7
40,No,Travel_Frequently,530,Research & Development,1,Master,Life Sciences,119,Male,Healthcare Representative,Medium,Married,13503,1,No,22,Outstanding,80,22,22,3,11
51,No,Travel_Rarely,632,Sales,21,Master,Marketing,120,Male,Sales Executive,Very High,Single,5441,0,Yes,22,Outstanding,80,11,10,7,0
30,No,Travel_Rarely,1334,Sales,4,College,Medical,121,Female,Sales Executive,Medium,Divorced,5209,1,Yes,12,Excellent,80,11,11,8,7
46,No,Travel_Frequently,638,Research & Development,1,Bachelor,Medical,124,Male,Healthcare Representative,Low,Married,10673,2,Yes,13,Excellent,80,21,10,9,5
32,No,Travel_Rarely,1093,Sales,6,Master,Medical,125,Male,Sales Executive,High,Single,5010,1,No,16,Excellent,80,12,11,8,7
54,No,Travel_Rarely,1217,Research & Development,2,Master,Technical Degree,126,Female,Research Director,High,Married,13549,9,No,12,Excellent,80,16,4,3,3
24,No,Travel_Rarely,1353,Sales,3,College,Other,128,Female,Sales Executive,High,Married,4999,0,No,21,Outstanding,80,4,3,2,2
28,No,Non-Travel,120,Sales,4,Bachelor,Medical,129,Male,Sales Executive,High,Married,4221,1,No,15,Excellent,80,5,5,4,4
58,No,Travel_Rarely,682,Sales,10,Master,Medical,131,Male,Sales Executive,High,Single,13872,0,No,13,Excellent,80,38,37,10,8
44,No,Non-Travel,489,Research & Development,23,Bachelor,Medical,132,Male,Laboratory Technician,Medium,Married,2042,4,No,12,Excellent,80,17,3,2,2
37,Yes,Travel_Rarely,807,Human Resources,6,Master,Human Resources,133,Male,Human Resources,Low,Divorced,2073,4,Yes,22,Outstanding,80,7,3,2,2
32,No,Travel_Rarely,827,Research & Development,1,Below College,Life Sciences,134,Male,Research Scientist,Low,Single,2956,1,No,13,Excellent,80,1,1,0,0
20,Yes,Travel_Frequently,871,Research & Development,6,Bachelor,Life Sciences,137,Female,Laboratory Technician,Very High,Single,2926,1,Yes,18,Excellent,80,1,1,0,0
34,No,Travel_Rarely,665,Research & Development,6,Master,Other,138,Female,Research Scientist,High,Single,4809,1,No,14,Excellent,80,16,16,13,10
37,No,Non-Travel,1040,Research & Development,2,College,Life Sciences,139,Male,Healthcare Representative,Very High,Divorced,5163,5,No,14,Excellent,80,17,1,0,0
59,No,Non-Travel,1420,Human Resources,2,Master,Human Resources,140,Female,Manager,Very High,Married,18844,9,No,21,Outstanding,80,30,3,2,2
50,No,Travel_Frequently,1115,Research & Development,1,Bachelor,Life Sciences,141,Female,Research Director,Medium,Married,18172,3,Yes,19,Excellent,80,28,8,3,7
25,Yes,Travel_Rarely,240,Sales,5,Bachelor,Marketing,142,Male,Sales Executive,High,Single,5744,1,Yes,11,Excellent,80,6,6,4,3
25,No,Travel_Rarely,1280,Research & Development,7,Below College,Medical,143,Male,Research Scientist,Very High,Married,2889,1,No,11,Excellent,80,2,2,2,1
22,No,Travel_Rarely,534,Research & Development,15,Bachelor,Medical,144,Female,Laboratory Technician,Very High,Single,2871,1,No,15,Excellent,80,1,0,0,0
51,No,Travel_Frequently,1456,Research & Development,1,Master,Medical,145,Female,Healthcare Representative,Low,Single,7484,3,No,20,Outstanding,80,23,13,12,8
34,Yes,Travel_Frequently,658,Research & Development,7,Bachelor,Life Sciences,147,Male,Laboratory Technician,High,Single,6074,1,Yes,24,Outstanding,80,9,9,7,6
54,No,Non-Travel,142,Human Resources,26,Bachelor,Human Resources,148,Female,Manager,Very High,Single,17328,2,Yes,12,Excellent,80,23,5,3,4
24,No,Travel_Rarely,1127,Research & Development,18,Below College,Life Sciences,150,Male,Laboratory Technician,High,Married,2774,0,No,12,Excellent,80,6,5,3,2
34,No,Travel_Rarely,1031,Research & Development,6,Master,Life Sciences,151,Female,Research Scientist,Medium,Divorced,4505,6,No,15,Excellent,80,12,1,0,0
37,No,Travel_Rarely,1189,Sales,3,Bachelor,Life Sciences,152,Male,Sales Executive,Very High,Single,7428,2,No,12,Excellent,80,12,5,3,3
34,No,Travel_Rarely,1354,Research & Development,5,Bachelor,Medical,153,Female,Manager,Low,Single,11631,2,No,12,Excellent,80,14,11,10,8
36,No,Travel_Frequently,1467,Sales,11,College,Technical Degree,154,Female,Sales Executive,Very High,Married,9738,0,No,14,Excellent,80,10,9,7,8
36,No,Travel_Rarely,922,Research & Development,3,College,Life Sciences,155,Female,Laboratory Technician,Very High,Divorced,2835,5,No,22,Outstanding,80,7,1,0,0
43,No,Travel_Frequently,394,Sales,26,College,Life Sciences,158,Male,Manager,Very High,Married,16959,1,Yes,12,Excellent,80,25,25,12,12
30,No,Travel_Frequently,1312,Research & Development,23,Bachelor,Life Sciences,159,Male,Research Scientist,High,Divorced,2613,1,No,25,Outstanding,80,10,10,7,9
33,No,Non-Travel,750,Sales,22,College,Marketing,160,Male,Sales Executive,Medium,Married,6146,0,No,13,Excellent,80,8,7,7,7
56,Yes,Travel_Rarely,441,Research & Development,14,Master,Life Sciences,161,Female,Research Scientist,Medium,Married,4963,9,Yes,18,Excellent,80,7,5,4,3
51,No,Travel_Rarely,684,Research & Development,6,Bachelor,Life Sciences,162,Male,Research Director,High,Single,19537,7,No,13,Excellent,80,23,20,18,15
31,Yes,Travel_Rarely,249,Sales,6,Master,Life Sciences,163,Male,Sales Executive,High,Married,6172,4,Yes,18,Excellent,80,12,7,7,7
26,No,Travel_Rarely,841,Research & Development,6,Bachelor,Other,164,Female,Research Scientist,Medium,Married,2368,1,No,19,Excellent,80,5,5,4,3
58,Yes,Travel_Rarely,147,Research & Development,23,Master,Medical,165,Female,Healthcare Representative,Very High,Married,10312,1,No,12,Excellent,80,40,40,10,6
19,Yes,Travel_Rarely,528,Sales,22,Below College,Marketing,167,Male,Sales Representative,High,Single,1675,1,Yes,19,Excellent,80,0,0,0,0
22,No,Travel_Rarely,594,Research & Development,2,Below College,Technical Degree,169,Male,Laboratory Technician,Very High,Married,2523,0,No,14,Excellent,80,3,2,1,1
49,No,Travel_Rarely,470,Research & Development,20,Master,Medical,170,Female,Manufacturing Director,Low,Married,6567,1,No,14,Excellent,80,16,15,11,11
43,No,Travel_Frequently,957,Research & Development,28,Bachelor,Medical,171,Female,Research Scientist,High,Single,4739,4,No,12,Excellent,80,18,3,2,2
50,No,Travel_Frequently,809,Sales,12,Bachelor,Marketing,174,Female,Sales Executive,Very High,Single,9208,4,No,11,Excellent,80,16,2,2,1
31,Yes,Travel_Rarely,542,Sales,20,Bachelor,Life Sciences,175,Female,Sales Executive,High,Married,4559,3,Yes,11,Excellent,80,4,2,2,2
41,No,Travel_Rarely,802,Sales,9,Below College,Life Sciences,176,Male,Sales Executive,High,Divorced,8189,3,Yes,13,Excellent,80,12,9,7,7
26,No,Travel_Rarely,1355,Human Resources,25,Below College,Life Sciences,177,Female,Human Resources,High,Married,2942,1,No,23,Outstanding,80,8,8,7,7
36,No,Travel_Rarely,216,Research & Development,6,College,Medical,178,Male,Manufacturing Director,Medium,Divorced,4941,6,No,20,Outstanding,80,7,3,2,1
51,Yes,Travel_Frequently,1150,Research & Development,8,Master,Life Sciences,179,Male,Manufacturing Director,Very High,Single,10650,2,No,15,Excellent,80,18,4,2,3
39,No,Travel_Rarely,1329,Sales,4,Master,Life Sciences,182,Female,Sales Executive,High,Married,5902,4,No,14,Excellent,80,17,15,11,9
25,No,Travel_Rarely,959,Sales,28,Bachelor,Life Sciences,183,Male,Sales Executive,High,Married,8639,2,No,18,Excellent,80,6,2,2,2
30,No,Travel_Rarely,1240,Human Resources,9,Bachelor,Human Resources,184,Male,Human Resources,Very High,Married,6347,0,Yes,19,Excellent,80,12,11,9,7
32,Yes,Travel_Rarely,1033,Research & Development,9,Bachelor,Medical,190,Female,Laboratory Technician,Low,Single,4200,7,No,22,Outstanding,80,10,5,4,4
45,No,Travel_Rarely,1316,Research & Development,29,Bachelor,Medical,192,Male,Research Scientist,Very High,Single,3452,5,No,13,Excellent,80,9,6,5,3
38,No,Travel_Rarely,364,Research & Development,3,Doctor,Technical Degree,193,Female,Research Scientist,High,Single,4317,3,Yes,20,Outstanding,80,19,3,2,2
30,No,Travel_Rarely,438,Research & Development,18,Bachelor,Life Sciences,194,Female,Research Scientist,High,Single,2632,1,No,14,Excellent,80,5,5,4,4
32,No,Travel_Frequently,689,Sales,9,College,Medical,195,Male,Sales Executive,Very High,Divorced,4668,0,No,17,Excellent,80,9,8,7,7
30,No,Travel_Rarely,201,Research & Development,5,Bachelor,Technical Degree,197,Female,Research Scientist,Low,Divorced,3204,5,No,14,Excellent,80,8,3,2,2
30,No,Travel_Rarely,1427,Research & Development,2,Below College,Medical,198,Male,Laboratory Technician,Very High,Single,2720,0,No,13,Excellent,80,6,5,3,2
41,No,Travel_Frequently,857,Research & Development,10,Bachelor,Life Sciences,199,Male,Manager,Low,Divorced,17181,4,No,13,Excellent,80,21,7,6,7
41,No,Travel_Rarely,933,Research & Development,9,Master,Life Sciences,200,Male,Laboratory Technician,Low,Married,2238,2,No,21,Outstanding,80,7,5,0,4
19,No,Travel_Rarely,1181,Research & Development,3,Below College,Medical,201,Female,Laboratory Technician,Medium,Single,1483,1,No,14,Excellent,80,1,1,0,0
40,No,Travel_Frequently,1395,Research & Development,26,Bachelor,Medical,202,Female,Research Scientist,Medium,Divorced,5605,1,No,11,Excellent,80,20,20,7,13
35,No,Travel_Rarely,662,Sales,1,Doctor,Marketing,204,Male,Sales Executive,Medium,Married,7295,1,No,13,Excellent,80,10,10,8,6
53,No,Travel_Rarely,1436,Sales,6,College,Marketing,205,Male,Sales Representative,High,Married,2306,2,Yes,20,Outstanding,80,13,7,7,5
45,No,Travel_Rarely,194,Research & Development,9,Bachelor,Life Sciences,206,Male,Laboratory Technician,Medium,Divorced,2348,8,No,18,Excellent,80,20,17,9,15
32,No,Travel_Frequently,967,Sales,8,Bachelor,Marketing,207,Female,Sales Executive,Very High,Single,8998,1,No,14,Excellent,80,9,9,8,7
29,No,Non-Travel,1496,Research & Development,1,Below College,Technical Degree,208,Male,Manufacturing Director,High,Married,4319,1,No,13,Excellent,80,10,10,7,9
51,No,Travel_Rarely,1169,Research & Development,7,Master,Medical,211,Male,Manufacturing Director,High,Married,6132,2,No,17,Excellent,80,10,1,0,0
58,No,Travel_Rarely,1145,Research & Development,9,Bachelor,Medical,214,Female,Research Scientist,Medium,Married,3346,4,Yes,20,Outstanding,80,9,1,0,0
40,No,Travel_Rarely,630,Sales,4,Master,Marketing,215,Male,Sales Executive,Very High,Married,10855,7,No,11,Excellent,80,15,12,11,11
34,No,Travel_Frequently,303,Sales,2,Master,Marketing,216,Female,Sales Representative,High,Married,2231,6,No,18,Excellent,80,6,4,3,2
22,No,Travel_Rarely,1256,Research & Development,19,Below College,Medical,217,Male,Research Scientist,Very High,Married,2323,1,No,24,Outstanding,80,2,2,2,2
27,No,Non-Travel,691,Research & Development,9,Bachelor,Medical,218,Male,Research Scientist,Medium,Divorced,2024,6,No,18,Excellent,80,6,2,2,2
28,No,Travel_Rarely,440,Research & Development,21,Bachelor,Medical,221,Male,Research Scientist,Very High,Married,2713,1,No,11,Excellent,80,5,5,2,2
57,No,Travel_Rarely,334,Research & Development,24,College,Life Sciences,223,Male,Healthcare Representative,Very High,Divorced,9439,3,Yes,16,Excellent,80,12,5,3,4
27,No,Non-Travel,1450,Research & Development,3,Bachelor,Medical,224,Male,Research Scientist,High,Divorced,2566,1,Yes,15,Excellent,80,1,1,1,1
50,No,Travel_Rarely,1452,Research & Development,11,Bachelor,Life Sciences,226,Female,Manager,Medium,Single,19926,3,No,15,Excellent,80,21,5,4,4
41,No,Travel_Rarely,465,Research & Development,14,Bachelor,Life Sciences,227,Male,Research Scientist,High,Divorced,2451,4,No,12,Excellent,80,13,9,8,8
30,No,Travel_Rarely,1339,Sales,5,Bachelor,Life Sciences,228,Female,Sales Executive,Very High,Married,9419,2,No,12,Excellent,80,12,10,9,4
38,No,Travel_Rarely,702,Sales,1,Master,Life Sciences,230,Female,Sales Executive,Very High,Single,8686,4,No,22,Outstanding,80,12,8,3,7
32,No,Travel_Rarely,120,Research & Development,6,Doctor,Life Sciences,231,Male,Research Scientist,High,Single,3038,3,No,20,Outstanding,80,8,5,4,4
27,No,Travel_Rarely,1157,Research & Development,17,Bachelor,Technical Degree,233,Male,Research Scientist,Medium,Married,3058,0,Yes,16,Excellent,80,6,5,2,1
19,Yes,Travel_Frequently,602,Sales,1,Below College,Technical Degree,235,Female,Sales Representative,Low,Single,2325,0,No,21,Outstanding,80,1,0,0,0
36,No,Travel_Frequently,1480,Research & Development,3,College,Medical,238,Male,Laboratory Technician,Medium,Single,2088,4,No,12,Excellent,80,13,8,7,2
30,No,Non-Travel,111,Research & Development,9,Bachelor,Medical,239,Male,Laboratory Technician,Low,Divorced,3072,1,No,11,Excellent,80,12,12,9,10
45,No,Travel_Rarely,1268,Sales,4,College,Life Sciences,240,Female,Sales Executive,Low,Divorced,5006,4,Yes,11,Excellent,80,9,5,4,3
56,No,Travel_Rarely,713,Research & Development,8,Bachelor,Life Sciences,241,Female,Research Scientist,Low,Divorced,4257,4,Yes,18,Excellent,80,19,2,2,2
33,No,Travel_Rarely,134,Research & Development,2,Bachelor,Life Sciences,242,Male,Research Scientist,Very High,Single,2500,0,No,14,Excellent,80,4,3,1,2
19,Yes,Travel_Rarely,303,Research & Development,2,Bachelor,Life Sciences,243,Male,Laboratory Technician,Very High,Single,1102,1,No,22,Outstanding,80,1,1,0,0
